cy_mat_combat_mad,row.names
0.7103683828114831,ADAMTS6
0.8036849722634712,ADAMTS7
1.2891565926279436,ADAMTS8
0.7630454833844993,ADAMTS9
0.8207200655704753,ADAMTSL2
0.8075491731408919,ADAMTSL3
0.5805390305465927,ADAMTSL4
0.8821041277534902,ADAP1
0.6842545562517582,ADAP2
1.0366598896625863,ADAR
0.7884248672500862,ADARB1
0.949993459069833,ADCK2
0.5719061996382921,ADCK4
0.7546715072131093,ADCY1
1.3471249446093596,ADCY10
0.7059717670420442,ADCY2
0.9261714520975927,ADCY3
0.9770013723836252,ADCY6
1.1171400312269821,ADCY7
0.7326764210466034,ADCY8
0.5898139071421432,ADCY9
0.797676558263179,ADCYAP1
1.2101694032073589,ADCYAP1R1
0.4246178589593684,ADD1
1.0922845618497479,ADD2
0.8675664048062984,ADD3
