ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL13RA1,-0.1004766220563642,9.53275220622051,-1.584051105192078,0.1137960686876701,0.9999970699667557,-4.307416154286566
ACTR1A,-0.0540951895928643,9.23563722184089,-1.583335769227408,0.11395895423089579,0.9999970699667557,-4.308159604225694
TAS2R7,-0.10036262770521187,4.70067617481733,-1.5832907656546173,0.11396920791994898,0.9999970699667557,-4.308206365437065
TMEM184B,-0.09676922883674344,8.665087659442722,-1.5830772799691701,0.11401785877981792,0.9999970699667557,-4.308428171048149
SORBS2,0.15778384929011047,8.318216404971695,1.5829762544697528,0.11404088701038907,0.9999970699667557,-4.308533123404964
TMEM214,-0.06665821360192759,8.66711974781672,-1.582573942278371,0.11413262838976708,0.9999970699667557,-4.30895100787361
FGFR2,-0.16741763083077732,6.481330428586621,-1.5812593769500063,0.11443280199162188,0.9999970699667557,-4.310315725060094
CALM3,0.07964712000315899,10.943627309547123,1.580864555730124,0.11452307877859982,0.9999970699667557,-4.31072539048363
SCN9A,0.130683129743419,6.411849412230373,1.5807734252500139,0.11454392395642432,0.9999970699667557,-4.310819932878841
WDR7,0.0743397142574338,7.874539995516664,1.5805318410674494,0.11459919839213698,0.9999970699667557,-4.311070535913399
HTR4,0.13216761349286799,5.505543481226412,1.579478869521956,0.11484036403925768,0.9999970699667557,-4.312162375631905
PHIP,0.10474891443781154,8.408961737267642,1.5794105291754086,0.1148560300886434,0.9999970699667557,-4.3122332137950625
CEP135,0.09295731163462229,7.898834187412899,1.5784302561406156,0.11508092930585405,0.9999970699667557,-4.313248982538918
RPH3A,0.1504553316443582,5.93689129790967,1.5783390268612807,0.11510187724760923,0.9999970699667557,-4.313343483570777
FANCG,0.0988297029526013,8.810302555869582,1.5781405096332743,0.11514747089478845,0.9999970699667557,-4.313549101584843
BGN,-0.143572563956603,11.132612625601807,-1.5781231625118828,0.1151514557019726,0.9999970699667557,-4.313567067984594
PHF2,0.14415551689200345,8.090427772176172,1.5778036842353034,0.11522486250610901,0.9999970699667557,-4.313897916524916
HMG20A,-0.12315816376793087,7.825179261784699,-1.577041182845706,0.1154002122947063,0.9999970699667557,-4.314687288189398
FCGR1B,-0.14442461513274907,8.27812154039498,-1.57633437796532,0.11556294163613004,0.9999970699667557,-4.315418664234493
ZNF574,0.09114786656022567,7.9250407061948405,1.5762496697714206,0.11558245633783505,0.9999970699667557,-4.315506295482314
HEG1,-0.11940576602556696,8.408073860807109,-1.5762140440625207,0.11559066440836797,0.9999970699667557,-4.315543149150779
HPRT1,0.1422548168046074,9.418447836644201,1.5759219286196837,0.11565798438144295,0.9999970699667557,-4.315845302321451
